bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Macrozamia plurinervia,10531,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots?"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, ? wind"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, ? wind"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Olearia gravis,1595,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Olearia gravis,1595,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Persoonia terminalis subsp. terminalis,9048,Clarke Fulloon 1999,disp1,animal-ingestion,NA,NA,NA,"dispersal, ? vertebrates"
Persoonia terminalis subsp. terminalis,9048,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Phebalium glandulosum subsp. eglandulosum,9419,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Phebalium glandulosum subsp. eglandulosum,9419,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Prostanthera staurophylla,3433,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Prostanthera staurophylla,3433,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Rutidosis heterogama,1643,Clarke Fulloon 1999,disp1,wind-unspec.,NA,NA,NA,"dispersal, wind"
Thelionema grande,8301,Clarke Fulloon 1999,disp1,animal-unspec.,NA,NA,NA,"dispersal, ? animal"
