bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Platysace linearifolia,1145,Benson 1985,repr3,NA,4,3,NA,"year to first flower after fire, 3(4) at location: a_G"
Woollsia pungens,2664,Benson 1985,repr3,NA,5,3,NA,"year to first flower after fire, 3(5) at location: d_BW"
Conospermum taxifolium,5352,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: b_BW"
Eriostemon australasius,5776,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: d_BW"
Goodenia bellidifolia,3175,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: d_BW"
Grevillea speciosa,5401,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: b_BW"
Hibbertia monogyna,2540,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: b_BW"
Pimelea linifolia,6182,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: c_BW"
Boronia ledifolia,5744,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: a_BW"
Boronia ledifolia,5744,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: d_BW"
Leucopogon microphyllus,2629,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: a_BW"
Leucopogon microphyllus,2629,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: b_BW"
Gompholobium grandiflorum,2865,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: a_BW"
Gompholobium grandiflorum,2865,Benson 1985,repr3,NA,6,NA,NA,"year to first flower after fire, 6 at location: d_BW"
Grevillea sericea,5399,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: a_BW"
Grevillea sericea,5399,Benson 1985,repr3,NA,6,4,NA,"year to first flower after fire, 4(6) at location: c_BW"
Acacia suaveolens,3881,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: d_BW"
Acacia suaveolens,3881,Benson 1985,repr3,NA,4,NA,NA,"year to first flower after fire, 4 at location: a_G"
Boronia serrulata,5759,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: d_BW"
Dillwynia retorta,2850,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: b_BW"
Philotheca salsolifolia,5831,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: b_BW"
Xanthosia tridentata,1163,Benson 1985,repr3,NA,6,NA,NA,"year to first flower after fire, 6 at location: c_BW"
Epacris pulchella,2605,Benson 1985,repr3,NA,6,NA,NA,"year to first flower after fire, 6 at location: b_BW"
Hakea teretifolia,5427,Benson 1985,repr3,NA,6,NA,NA,"year to first flower after fire, 6 at location: a_BW"
Hakea teretifolia,5427,Benson 1985,repr3,NA,6,6,NA,"year to first flower after fire, 6(6) at location: b_BW"
Hakea teretifolia,5427,Benson 1985,repr3,NA,7,NA,NA,"year to first flower after fire, 7 at location: d_BW"
Petrophile pulchella,5479,Benson 1985,repr3,NA,6,NA,NA,"year to first flower after fire, 6 at location: b_BW"
Petrophile pulchella,5479,Benson 1985,repr3,NA,9,NA,NA,"year to first flower after fire, 9 at location: d_BW"
Petrophile pulchella,5479,Benson 1985,repr3,NA,9,8,NA,"year to first flower after fire, 8(9) at location: a_G"
Banksia ericifolia,5342,Benson 1985,repr3,NA,8,NA,NA,"year to first flower after fire, 8 at location: a_BW"
Banksia ericifolia,5342,Benson 1985,repr3,NA,8,NA,NA,"year to first flower after fire, 8 at location: b_BW"
Banksia ericifolia,5342,Benson 1985,repr3,NA,7,NA,NA,"year to first flower after fire, 7 at location: d_BW"
Grevillea buxifolia,5364,Benson 1985,repr3,NA,8,NA,NA,"year to first flower after fire, 8 at location: a_G"
Philotheca buxifolia,10577,Benson 1985,repr3,NA,5,5,NA,"year to first flower after fire, 5(5) at location: c_BW"
Philotheca buxifolia,10577,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: d_BW"
Philotheca buxifolia,10577,Benson 1985,repr3,NA,6,4,NA,"year to first flower after fire, 4(6) at location: a_G"
Acacia hispidula,3790,Benson 1985,repr3,NA,5,NA,NA,"year to first flower after fire, 5 at location: a_G"
