record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
172030,5357,Grevillea alpina,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165038,2873,Hardenbergia violacea,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
173915,2873,Hardenbergia violacea,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165043,11015,Hovea heterophylla,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165044,7240,Hypericum gramineum,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165051,4228,Leptospermum multicaule,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
177054,4228,Leptospermum multicaule,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165059,2646,Melichrus urceolatus,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165062,2649,Monotoca scoparia,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165065,5471,Persoonia rigida,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165073,3012,Pultenaea procumbens,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
182801,3012,Pultenaea procumbens,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
164997,4770,Aristida ramosa,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165022,4891,Deyeuxia quadriseta,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165032,5860,Exocarpos cupressiformis,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
171050,5860,Exocarpos cupressiformis,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
164994,3823,Acacia mearnsii,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165021,2824,Daviesia mimosoides,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
166271,2824,Daviesia mimosoides,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
