bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Hypericum gramineum,7240,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Opercularia varia,5701,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Opercularia varia,5701,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Phyllanthus gunnii,2746,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Phyllanthus gunnii,2746,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Poranthera microphylla,7395,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Poranthera microphylla,7395,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Rorippa dictyosperma,1842,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Rorippa dictyosperma,1842,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Senecio velleioides,1680,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Senecio velleioides,1680,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Stellaria flaccida,2004,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Stellaria flaccida,2004,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Stellaria pungens,2008,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Stellaria pungens,2008,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Stellaria media,2006,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Stellaria media,2006,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Viola hederacea,6272,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Viola hederacea,6272,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Viola cleistogamoides,9499,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Viola cleistogamoides,9499,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Wahlenbergia gracilenta,1933,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Wahlenbergia gracilenta,1933,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Wahlenbergia stricta,1938,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Wahlenbergia stricta,1938,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Billardiera scandens,4671,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Billardiera scandens,4671,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Cassytha glabella,3467,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Cassytha glabella,3467,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Cassytha melantha,3468,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Cassytha melantha,3468,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Clematis aristata,5493,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Comesperma volubile,5257,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Comesperma volubile,5257,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Glycine clandestina,2860,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Glycine clandestina,2860,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Kennedia prostrata,2896,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Kennedia prostrata,2896,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Eucalyptus baxteri,4053,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus baxteri,4053,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Eucalyptus cypellocarpa,4075,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus globulus,4098,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus obliqua,4140,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus obliqua,4140,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Eucalyptus ovata,4146,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus tricarpa,9304,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Eucalyptus tricarpa,9304,Wark 1997,repr3a,3,3,NA,NA,"First flowering, F3; Regeneration strategy, FRR",NA
Eucalyptus viminalis,4197,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Acacia melanoxylon,3824,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Exocarpos cupressiformis,5860,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Adiantum aethiopicum,7997,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Adiantum aethiopicum,7997,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Blechnum cartilagineum,8052,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Blechnum cartilagineum,8052,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Blechnum nudum,8058,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Cyathea australis,8074,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Cyathea australis,8074,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Gleichenia microphylla,6708,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Gleichenia microphylla,6708,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Hymenophyllum cupressiforme,8107,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Hypolepis rugosula,7653,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Hypolepis rugosula,7653,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Pteridium esculentum,6403,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Pteridium esculentum,6403,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, FRR",NA
Todea barbara,8151,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Todea barbara,8151,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Anthoxanthum odoratum,4750,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Anthoxanthum odoratum,4750,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Austrostipa rudis,10396,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Austrostipa rudis,10396,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Austrostipa semibarbata,10394,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Austrostipa semibarbata,10394,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Deyeuxia densa,13423,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Deyeuxia densa,13423,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Deyeuxia quadriseta,4891,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Deyeuxia quadriseta,4891,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Dichelachne rara,4899,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Dichelachne rara,4899,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
Holcus lanatus,5005,Wark 1997,surv1,Most,NA,NA,NA,"Regeneration strategy, FRR",NA
Holcus lanatus,5005,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, FRR",NA
