record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
4094,2491,Schoenus apogon,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
2885,4351,Acianthus caudatus,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3325,4460,Eriochilus cucullatus,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4042,4559,Pterostylis longifolia,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4047,4562,Pterostylis nutans,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4046,4561,Pterostylis nana,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4048,4566,Pterostylis parviflora,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4170,4602,Thelymitra pauciflora,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3067,3533,Burchardia umbellata,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Bewick 1994""}",Tuber,NA,NA,NA,exact
3243,3542,Dianella revoluta,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4175,3572,Thysanotus juncifolius,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4176,3573,Thysanotus patersonii,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3694,11388,Lachnagrostis filiformis,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
4082,14321,Rytidosperma semiannulare,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Short rhizome,NA,NA,NA,exact
3074,3535,Caesia parviflora,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3286,2559,Drosera peltata,surv4,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3286,2559,Drosera peltata,surv4,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3781,9082,Lomandra micrantha subsp. tuberculata,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
3782,8802,Lomandra multiflora subsp. multiflora,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997""}",Tuber,NA,NA,NA,exact
4165,8968,Thelymitra ixioides var. ixioides,surv4,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Wark 1997"",""Bewick 1994""}",Tuber,NA,NA,NA,exact
2535,4516,Prasophyllum odoratum,repr2,NSWFFRDv2.1,"{""Wark 1997""}",Facultative,NA,NA,NA,exact
