"bionet_name","species_code","suggested_name","taxon_rank","dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"Agiortia pedicellata","12011","Agiortia pedicellata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:22:50.983,2007-04-17 07:56:11,9767,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",9767,"7819","Leucopogon pedicellatus","<em>Leucopogon pedicellatus</em>",NA,NA,17241,NA,FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Agiortia pedicellata","12011","Agiortia pedicellata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:22:50.983,2007-04-17 07:56:11,11803,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",11803,"8952","Lissanthe sp. A","<em>Lissanthe sp. A</em>",NA,NA,17241,NA,FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Agiortia pedicellata","12011","Agiortia pedicellata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:22:50.983,2007-04-17 07:56:11,17241,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",17241,"12011","Agiortia pedicellata","<em>Agiortia pedicellata</em>",NA,NA,17241,NA,TRUE,NA,NA,"Alive in NSW, Native","Heath shrub","Shrub (SG)","Shrub","Shrub (SG)","Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Agiortia pedicellata","12011","Agiortia pedicellata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:22:50.983,2007-04-17 07:56:11,18320,"Species",139,"Plantae",38,"Flora",137,"Flora",302,"Ericaceae",9840,2006,"Agiortia",17241,"pedicellata",NA,"(C.T.White) Quinn in Quinn et al.",18320,"12939","Lissanthe pedicellata","<em>Lissanthe pedicellata</em>",NA,NA,17241,NA,FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Eucalyptus macrorhyncha","4120","Eucalyptus macrorhyncha","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:34:47.017,1995-12-15 02:06:45,2370,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13415,2862,"Eucalyptus",2370,"macrorhyncha",NA,"F.Muell. ex Benth.",2370,"4120","Eucalyptus macrorhyncha","<em>Eucalyptus macrorhyncha</em>","Red Stringybark",NA,2370,"Red Stringybark",TRUE,NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Eucalyptus macrorhyncha","4120","Eucalyptus macrorhyncha","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:34:47.017,1995-12-15 02:06:45,3072,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13415,2862,"Eucalyptus",2370,"macrorhyncha",NA,"F.Muell. ex Benth.",3072,"7517","Eucalyptus macrorhyncha subsp. macrorhyncha","<em>Eucalyptus macrorhyncha </em>subsp.<em> macrorhyncha</em>",NA,NA,2370,"Red Stringybark",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Abrus precatorius subsp. precatorius","10692","Abrus precatorius subsp. precatorius","subspecies","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2009-05-01 06:05:16,1999-06-02 07:29:48,2371,"Subspecies",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10270,1948,"Abrus",2371,"precatorius","precatorius","L.",2371,"7512","Abrus precatorius","<em>Abrus precatorius</em>","Gidee Gidee",NA,13410,NA,FALSE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Abrus precatorius subsp. precatorius","10692","Abrus precatorius subsp. precatorius","subspecies","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2009-05-01 06:05:16,1999-06-02 07:29:48,13410,"Subspecies",139,"Plantae",38,"Flora",137,"Flora",421,"Fabaceae (Faboideae)",10270,1948,"Abrus",2371,"precatorius","precatorius","L.",13410,"10692","Abrus precatorius subsp. precatorius","<em>Abrus precatorius </em>subsp.<em> precatorius</em>",NA,NA,13410,NA,TRUE,NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Glossocardia bidens","13989","Glossocardia bidens [alternative possible names: Glossocardia refracta (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:26:22.207,2010-05-28 05:54:19,2387,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7230,2984,"Glossocardia",19877,"bidens",NA,"(Retz.) Veldkamp",2387,"7213","Glossogyne bidens","<em>Glossogyne bidens</em>",NA,NA,19877,"Cobbler's Tack",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Glossocardia bidens","13989","Glossocardia bidens [alternative possible names: Glossocardia refracta (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:26:22.207,2010-05-28 05:54:19,8860,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7230,2984,"Glossocardia",19877,"bidens",NA,"(Retz.) Veldkamp",8860,"8621","Glossogyne tannensis","<em>Glossogyne tannensis</em>","Cobbler's Tack",NA,19877,"Cobbler's Tack",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
