row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
97749,surv5,Omphalolappula concava,1771,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97750,surv5,Onopordum acaulon,1620,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97751,surv5,Opercularia aspera,5697,NSWFFRDv2.1,"{""Clarke 1989"",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""<5 (96), absent or rare in 10 yo heath (46), present at 20-22 yo sites (105)""}",NA,NA,NA,5,NA
97752,surv5,Opercularia aspera,5697,NSWFFRDv2.1,"{""Clarke 1989"",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""<5 (96), absent or rare in 10 yo heath (46), present at 20-22 yo sites (105)""}",NA,NA,NA,5,NA
97753,surv5,Opercularia aspera,5697,NSWFFRDv2.1,"{""Clarke 1989"",""Clemens Franklin 1980"",""EcoGIS 2002""}","{""Life span"",""<5 (96), absent or rare in 10 yo heath (46), present at 20-22 yo sites (105)""}",NA,NA,NA,5,NA
97754,surv5,Opercularia varia,5701,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",5-25}","{""Cell color index 12""}",NA,NA,25,5
97755,surv5,Oreobolus distichus,2478,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97756,surv5,Oreomyrrhis argentea,1135,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97757,surv5,Oreomyrrhis ciliata,1137,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97758,surv5,Oreomyrrhis eriopoda,1138,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97759,surv5,Orites lancifolius,5449,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",70?}","{""Cell color index 12"",uncertain}",NA,70,NA,NA
97760,surv5,Orthoceras strictum,4476,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97761,surv5,Oschatzia cuneifolia,1140,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97762,surv5,Owenia cepiodora,3682,NSWFFRDv2.1,"{""Tran Wild 2000""}","{""Life span"",>200}","{""Cell color index 12""}",NA,NA,NA,200
97763,surv5,Oxylobium ellipticum,2950,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
97764,surv5,Ozothamnus alpinus,10157,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
97765,surv5,Ozothamnus hookeri,10156,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",""50? (58)""}",{uncertain},NA,50,NA,NA
97766,surv5,Ozothamnus hookeri,10156,NSWFFRDv2.1,"{""Kirkpatrick Dickinson 1984""}","{""Life span"",""still present in 51 yo site (61)""}",NA,NA,NA,NA,NA
97767,surv5,Ozothamnus secundiflorus,9968,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
97768,surv5,Pachymitus cardaminoides,1836,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97769,surv5,Pandanus tectorius var. australianus,9349,NSWFFRDv2.1,NA,"{""Life span"",>30}",NA,NA,NA,NA,30
97770,surv5,Pandorea pandorana subsp. pandorana,10485,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50-100?}","{""Cell color index 12"",uncertain}",NA,NA,100,50
97771,surv5,Panicum simile,5066,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""present & flowering at 20-25 yo sites""}","{""Cell color index 12""}",NA,NA,NA,NA
97772,surv5,Papaver aculeatum,4635,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
