"row_number","trait_code","species","species_code","main_source","original_sources","raw_value","original_notes","norm_value","best","upper","lower","sources"
38046,"surv1","Lomandra filiformis subsp. coriacea","6511","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
38051,"surv1","Lomandra filiformis subsp. filiformis","7931","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
38126,"surv1","Lomandra longifolia","6308","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}","{""Mortality 20-27% (99); Post-fire abundance increase (P)""}","All",NA,NA,NA,"Benwell 1998"
38203,"surv1","Lomandra obliqua","6312","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mortality 0-41% (57)""}","All",NA,NA,NA,"Keith 1991"
38256,"surv1","Lomatia silaifolia","5445","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
38282,"surv1","Lomatia silaifolia","5445","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
38356,"surv1","Lycopodiella lateralis","9293","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
38367,"surv1","Macarthuria neocambrica","3907","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""Fire ephemeral (6)""}","None",NA,NA,NA,"Benwell 1998"
38624,"surv1","Melaleuca linariifolia","4257","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
38654,"surv1","Melaleuca nodosa","4258","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
38655,"surv1","Melaleuca nodosa","4258","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
38668,"surv1","Melaleuca quinquenervia","4260","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by crown fire, resprouts after partail burn (96)""}","All",NA,NA,NA,"Benwell 1998"
38670,"surv1","Melaleuca quinquenervia","4260","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by crown fire, resprouts after partail burn (96)""}","All",NA,NA,NA,"Benwell 1998"
38674,"surv1","Melaleuca sieberi","4261","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
38676,"surv1","Melaleuca sieberi","4261","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
38704,"surv1","Melaleuca squamea","4262","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 1"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benwell 1998"
38736,"surv1","Melaleuca squarrosa","4263","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
38768,"surv1","Melaleuca thymifolia","4266","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Stems killed (1)""}","All",NA,NA,NA,"Benwell 1998"
38770,"surv1","Melaleuca thymifolia","4266","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Stems killed (1)""}","All",NA,NA,NA,"Keith 1991"
38805,"surv1","Melichrus erubescens","2644","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
38890,"surv1","Microlaena stipoides var. stipoides","7707","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67), Mortality 20-71% (57); Post-fire abundance increase (57)""}","All",NA,NA,NA,"Keith 1991"
39944,"surv1","Mirbelia pungens","2937","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
39953,"surv1","Mirbelia rubiifolia","2938","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}","None",NA,NA,NA,"Benwell 1998"
39986,"surv1","Mirbelia speciosa subsp. speciosa","7736","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Keith 1991"
40017,"surv1","Mitrasacme polymorpha","3595","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}","None",NA,NA,NA,"Benwell 1998"
40018,"surv1","Mitrasacme polymorpha","3595","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}","All",NA,NA,NA,"Benwell 1998"
40039,"surv1","Mitrasacme polymorpha","3595","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6)""}","All",NA,NA,NA,"Keith 1991"
40054,"surv1","Monotaxis linifolia","2738","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
40061,"surv1","Monotoca elliptica","2647","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Most of population killed, a few resprouted after high intensity (1), Variable (39); Post-fire abundance decrease (57)""}","All",NA,NA,NA,"Benwell 1998"
40113,"surv1","Monotoca scoparia","2649","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Few individuals recorded by (VE), Variable (39), Mortality 4% when burnt, 4% when burnt and grazed (99)""}","All",NA,NA,NA,"Benwell 1998"
40124,"surv1","Monotoca scoparia","2649","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Few individuals recorded by (VE), Variable (39), Mortality 4% when burnt, 4% when burnt and grazed (99)""}","All",NA,NA,NA,"Benwell 1998"
40372,"surv1","Ochrosperma citriodorum","6949","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
40375,"surv1","Ochrosperma lineare","6474","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}",NA,"None",NA,NA,NA,"Benwell 1998"
40378,"surv1","Olax retusa","4307","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
40379,"surv1","Olax retusa","4307","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
40381,"surv1","Olax stricta","6407","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}",NA,"None",NA,NA,NA,"Benwell 1998"
40471,"surv1","Olearia gravis","1595","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Seedlings killed (69)""}","All",NA,NA,NA,"Clarke Fulloon 1999"
40810,"surv1","Orthoceras strictum","4476","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
41137,"surv1","Panicum simile","5066","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41139,"surv1","Panicum simile","5066","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41273,"surv1","Patersonia fragilis","3300","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41274,"surv1","Patersonia fragilis","3300","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
41276,"surv1","Patersonia fragilis","3300","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41283,"surv1","Patersonia glabrata","3301","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41317,"surv1","Patersonia glabrata","3301","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
41328,"surv1","Patersonia sericea","3303","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}","All",NA,NA,NA,"Benwell 1998"
41363,"surv1","Patersonia sericea","3303","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}","All",NA,NA,NA,"Keith 1991"
41370,"surv1","Patersonia sericea","3303","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 25-40% (57); Post-fire abundance increase after autumn burn(57)""}","All",NA,NA,NA,"Benwell 1998"
41559,"surv1","Persoonia cornifolia","5455","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
41701,"surv1","Persoonia levis","5462","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
