"row_number","trait_code","species","species_code","main_source","original_sources","raw_value","original_notes","norm_value","best","upper","lower","sources"
33920,"surv1","Hakea laevipes subsp. laevipes","10804","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""resprouting form of H. dactyloides""}","All",NA,NA,NA,"Clarke Fulloon 1999"
33930,"surv1","Hakea macrorrhyncha","9602","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
34144,"surv1","Harmogia densifolia","13289","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
34209,"surv1","Hemarthria uncinata var. uncinata","7871","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
34246,"surv1","Hibbertia acicularis","2526","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), vegetative response at 25% of sites (78)""}","All",NA,NA,NA,"Benwell 1998"
34293,"surv1","Hibbertia cistiflora subsp. cistiflora","10556","NSWFFRDv2.1","{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benson 1985"
34363,"surv1","Hibbertia fasciculata","2536","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), 9VE (recorded by VE from 3 individuals in low intensity burn)""}","None",NA,NA,NA,"Benwell 1998"
34410,"surv1","Hibbertia linearis","2539","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}","None",NA,NA,NA,"Benwell 1998"
34445,"surv1","Hibbertia obtusifolia","2542","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}","{""Variable (39); Post-fire abundance increase (P)""}","None",NA,NA,NA,"Benwell 1998"
34453,"surv1","Hibbertia obtusifolia","2542","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Variable (39); Post-fire abundance increase (P)""}","All",NA,NA,NA,"Clarke Fulloon 1999"
34466,"surv1","Hibbertia riparia","2545","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
34557,"surv1","Hibbertia serpyllifolia","2550","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Mortality 37-44% after spring burn 79-87% after autumn burn (57); Post-fire abundance decrease (57)""}","All",NA,NA,NA,"Keith 1991"
34593,"surv1","Hibbertia vestita","2551","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
34594,"surv1","Hibbertia vestita","2551","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
34706,"surv1","Homoranthus lunatus","9034","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
34710,"surv1","Homoranthus virgatus","4203","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
34790,"surv1","Hovea purpurea","2880","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
34949,"surv1","Hypericum gramineum","7240","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Juveniles die (67), Variable (39), Killed at sites with high-intensity fire, resprout at site with low-intensity (105)""}","All",NA,NA,NA,"Keith 1991"
35001,"surv1","Hypolaena fastigiata","5533","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}","All",NA,NA,NA,"Benwell 1998"
35029,"surv1","Hypolaena fastigiata","5533","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}","All",NA,NA,NA,"Keith 1991"
35031,"surv1","Hypolaena fastigiata","5533","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}","All",NA,NA,NA,"Benwell 1998"
35071,"surv1","Hypoxis hygrometrica","3553","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
35209,"surv1","Isopogon anemonifolius","5433","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mortality 46-65% (57), Mortality 10-40% at one site, 60-85% at another (105); Post-fire abundance decrease (57)""}","All",NA,NA,NA,"Keith 1991"
35288,"surv1","Jacksonia stackhousei","2893","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}","None",NA,NA,NA,"Benwell 1998"
35289,"surv1","Jacksonia stackhousei","2893","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}","All",NA,NA,NA,"Benwell 1998"
35310,"surv1","Jacksonia stackhousei","2893","NSWFFRDv2.1","{""Benwell 1998""}","{Fireresponse,Sr,""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}","Few",NA,NA,NA,"Benwell 1998"
35356,"surv1","Juncus planifolius","3340","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
35451,"surv1","Kunzea bracteolata","4205","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
35479,"surv1","Kunzea capitata","4207","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{"" Many plants killed by high intensity fire (1), some resprouting at 1 of 4 sites (105)""}","All",NA,NA,NA,"Keith 1991"
35564,"surv1","Lambertia formosa","5440","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 0-12% (57)""}","All",NA,NA,NA,"Keith 1991"
35659,"surv1","Laxmannia gracilis","3556","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Benwell 1998"
35675,"surv1","Leionema ambiens","10724","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
35712,"surv1","Leionema rotundifolium","10736","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
36807,"surv1","Lepidosperma filiforme","2465","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
36814,"surv1","Lepidosperma forsythii","2467","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
36876,"surv1","Lepidosperma limicola","2469","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
36907,"surv1","Lepidosperma neesii","2471","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
36958,"surv1","Leptocarpus tenax","5534","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
36960,"surv1","Leptocarpus tenax","5534","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
36961,"surv1","Leptocarpus tenax","5534","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
36988,"surv1","Leptomeria acida","5865","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Some resprouting with low intensity fire (105)""}","None",NA,NA,NA,"Benwell 1998"
37050,"surv1","Leptospermum arachnoides","4213","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
37098,"surv1","Leptospermum grandifolium","7766","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
37128,"surv1","Leptospermum juniperinum","4221","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}","All",NA,NA,NA,"Benwell 1998"
37133,"surv1","Leptospermum juniperinum","4221","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}","All",NA,NA,NA,"Keith 1991"
37137,"surv1","Leptospermum juniperinum","4221","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39); Post-fire abundance decrease (85)""}","All",NA,NA,NA,"Benwell 1998"
37202,"surv1","Leptospermum liversidgei","4224","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37203,"surv1","Leptospermum liversidgei","4224","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37267,"surv1","Leptospermum novae-angliae","8478","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Killed by 100% scorch (95a)""}","All",NA,NA,NA,"Clarke Fulloon 1999"
37306,"surv1","Leptospermum polygalifolium subsp. polygalifolium","8197","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Keith 1991"
37309,"surv1","Leptospermum polygalifolium subsp. polygalifolium","8197","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Benwell 1998"
37312,"surv1","Leptospermum polygalifolium subsp. polygalifolium","8197","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,"All",NA,NA,NA,"Benwell 1998"
37346,"surv1","Leptospermum semibaccatum","4236","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37347,"surv1","Leptospermum semibaccatum","4236","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37362,"surv1","Leptospermum trinervium","8486","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}","All",NA,NA,NA,"Benwell 1998"
37368,"surv1","Leptospermum trinervium","8486","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}","All",NA,NA,NA,"Benwell 1998"
37372,"surv1","Leptospermum trinervium","8486","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group V"",""Survives 100% scorch; resprouts from basal stem buds (eg lignotuber)"",""Overall value of fireresponse column is R""}","{""Some plants killed (1); Plant mortality 2%; Stem mortality 80% after high intensity fire, 28% after low intensity; Mortality may be increased by repeated burning (103)""}","All",NA,NA,NA,"Clarke Fulloon 1999"
37397,"surv1","Lepyrodia anarthria","5535","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
37428,"surv1","Lepyrodia scariosa","5541","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
37458,"surv1","Leucopogon deformis","2615","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
37480,"surv1","Leucopogon ericoides","2616","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}","None",NA,NA,NA,"Benwell 1998"
37548,"surv1","Leucopogon lanceolatus var. gracilis","6845","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
37581,"surv1","Leucopogon leptospermoides","2625","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37582,"surv1","Leucopogon leptospermoides","2625","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37586,"surv1","Leucopogon melaleucoides","2628","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
37662,"surv1","Leucopogon rodwayi","2636","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,"None",NA,NA,NA,"Benwell 1998"
37720,"surv1","Leucopogon virgatus","2639","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37724,"surv1","Leucopogon virgatus","2639","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37975,"surv1","Lomandra cylindrica","6298","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 13-37% (57); Post-fire abundance increase (57)""}","All",NA,NA,NA,"Keith 1991"
37985,"surv1","Lomandra elongata","6301","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
37987,"surv1","Lomandra elongata","6301","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
38016,"surv1","Lomandra filiformis","6302","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 11-38% (57); Post-fire abundance increase (P)""}","All",NA,NA,NA,"Benwell 1998"
