"dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentScientificNameCode","currentScientificName","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2022-11-04T17:29:02.14+11:00","1995-12-15T13:25:44+11:00",5476,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13797,3290,"Leptospermum",5476,"thompsonii",NA,"J. Thompson",5476,"8317","Leptospermum thompsonii","<em>Leptospermum thompsonii</em>","Monga Tea Tree",NA,5476,"8317","Leptospermum thompsonii","Monga Tea Tree","true",184,"Shrubs","Alive in NSW, Native","Shrub","Shrub (SG)",NA,NA,"Vulnerable","false","Not Sensitive",10469,"Vulnerable",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:49:10.487+11:00","1995-12-15T13:25:46+11:00",5483,"Species",139,"Plantae",38,"Flora",137,"Flora",307,"Thelypteridaceae",18439,2479,"Christella",5483,"spp.",NA,NA,5483,"CHRI","Christella spp.","<em>Christella spp.</em>",NA,NA,5483,"CHRI","Christella spp.",NA,"true",171,"Ferns and Cycads","Alive in NSW, Native","Fern and fern allies","Fern (EG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:50:13.99+11:00","1995-12-15T13:25:46+11:00",5484,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7260,3064,"Helichrysum",5484,"spp.",NA,NA,5484,"HELI","Helichrysum spp.","<em>Helichrysum spp.</em>",NA,NA,5484,"HELI","Helichrysum spp.",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)","Shrub","Shrub (SG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:48:33.3+11:00","1995-12-15T13:25:47+11:00",5485,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",6770,2064,"Ammobium",5485,"spp.",NA,NA,5485,"AMMO","Ammobium spp.","<em>Ammobium spp.</em>",NA,NA,5485,"AMMO","Ammobium spp.",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2008-12-01T14:45:00+11:00","2005-05-04T14:16:32+10:00",5486,"Species",139,"Plantae",38,"Flora",137,"Flora",249,"Arecaceae",6603,4160,"Syagrus",16279,"romanzoffiana",NA,"(Cham.) Glassman",5486,"8981","Arecastrum romanzoffianum","<em>Arecastrum romanzoffianum</em>","Queen Palm",NA,16279,"11731","Syagrus romanzoffiana","Cocos Palm","false",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2010-05-04T11:50:14+10:00","1995-12-15T13:25:48+11:00",5487,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15395,2210,"Axonopus",5487,"spp.",NA,NA,5487,"AXON","Axonopus spp.","<em>Axonopus spp.</em>",NA,NA,5487,"AXON","Axonopus spp.",NA,"true",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2018-10-23T16:41:44.33+11:00","1995-12-15T13:25:49+11:00",5490,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7101,2577,"Cotula",5490,"spp.",NA,NA,5490,"COTU","Cotula spp.","<em>Cotula spp.</em>",NA,NA,5490,"COTU","Cotula spp.",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:51:27.553+11:00","2007-01-16T15:42:31+11:00",5494,"Species",139,"Plantae",38,"Flora",137,"Flora",241,"Rubiaceae",17438,3874,"Psydrax",17152,"spp.",NA,NA,5494,"CANT","Canthium spp.","<em>Canthium spp.</em>",NA,NA,17152,"PSYD","Psydrax spp.",NA,"false",NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2009-01-23T10:09:00+11:00","1995-12-15T13:25:52+11:00",5495,"Species",139,"Plantae",38,"Flora",137,"Flora",217,"Caryophyllaceae",8406,2136,"Arenaria",5495,"spp.",NA,NA,5495,"AREN","Arenaria spp.","<em>Arenaria spp.</em>",NA,NA,5495,"AREN","Arenaria spp.",NA,"true",NA,NA,"Introduced",NA,NA,NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2018-10-23T16:41:44.547+11:00","1995-12-15T13:25:53+11:00",5496,"Species",139,"Plantae",38,"Flora",137,"Flora",165,"Asteraceae",7680,4068,"Senecio",5496,"spp.",NA,NA,5496,"SENE","Senecio spp.","<em>Senecio spp.</em>","Groundsel, Fireweed",NA,5496,"SENE","Senecio spp.","Groundsel, Fireweed","true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)","Shrub","Shrub (SG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
