trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Comesperma retusum,5255,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Seeder in subalpine treeless plain (120)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Conospermum taxifolium,5352,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S/R""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Conospermum taxifolium,5352,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Conospermum taxifolium,5352,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Conospermum taxifolium,5352,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Coprosma hirtella,5670,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is R""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Correa reflexa,5772,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 69% of sites (78)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Corybas fordhamii,4408,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Corybas fordhamii,4408,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Corymbia gummifera,9687,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Crassocephalum crepidioides,1421,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Cryptandra lanosiflora,5557,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Cryptostylis subulata,4417,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Cyathochaeta diandra,2347,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 0-32% (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Dampiera stricta,3174,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Dampiera stricta,3174,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Darwinia grandiflora,4029,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Daviesia ulicifolia,2827,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""May be killed (1), Variable (39), Mortality 12% when burnt, 51% when burnt and grazed (99); ""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Deyeuxia decipiens,4881,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Deyeuxia quadriseta,4891,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Juveniles die (67)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Dillwynia floribunda,2843,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Dillwynia phylicoides,7225,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Dillwynia retorta species complex,12383,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Variable (39), Mortality 95-100% (57), Mortality 100% when burnt or burnt and grazed; 100% after low or high, autumn or spring burn (99), Mortality >85% (105); Post-fire abundance decrease (57)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Dillwynia retorta species complex,12383,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""Variable (39), Mortality 95-100% (57), Mortality 100% when burnt or burnt and grazed; 100% after low or high, autumn or spring burn (99), Mortality >85% (105); Post-fire abundance decrease (57)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Dodonaea hirsuta,5897,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Drosera binata,2557,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Drosera peltata,2559,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Drosera pygmaea,2560,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Drosera spatulata,2561,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Drosera spatulata,2561,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Elaeocarpus sedentarius,14538,NSWFFRDv2.1,"{""Benwell 1998""}","{Fireresponse,S,""Overall value of fireresponse column is S""}","{""Expected that large individuals could survive fire (bark becomes thick), smaller plants susceptible (R6)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Eleocharis sphacelata,6988,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Empodisma minus,5532,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Resprouter and seeder in subalpine treeless plain (120); V in subalpine montane swamp (136)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Entolasia stricta,4947,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Mortality 40-58% (57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Entolasia stricta,4947,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality 40-58% (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Epacris obtusifolia,2602,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Epacris paludosa,2603,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Epacris pulchella,2605,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Epacris pulchella,2605,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Eriachne glabrata,4979,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Eriostemon australasius,5776,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Mortality 60% (57)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Eriostemon australasius,5776,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Mortality 60% (57)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Eucalyptus caleyi subsp. ovendenii,9517,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Eucalyptus haemastoma,4104,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Eucalyptus mckieana,4123,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Eucalyptus youmanii,4199,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{Fireresponse,R,""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Eurychorda complanata,10615,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Fimbristylis dichotoma,7435,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gahnia sieberiana,2442,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""New leaves from base within 1 month""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gahnia sieberiana,2442,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""New leaves from base within 1 month""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Gleichenia dicarpa,7138,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Gleichenia microphylla,6708,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Glossodia minor,4466,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Gompholobium grandiflorum,2865,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Rs""}","{""Mortality 50-71% (57); Post-fire abundance decrease (57)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Gompholobium pinnatum,2868,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gompholobium pinnatum,2868,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gompholobium virgatum,2870,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gonocarpus micranthus,3243,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Gonocarpus tetragynus,3247,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 50% of sites (78)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Gonocarpus tetragynus,3247,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Vegetative response at 50% of sites (78)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Gonocarpus teucrioides,3248,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Sheltered plants may resprout from base after low intensity fire (1), Variable (39)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Goodenia bellidifolia subsp. bellidifolia,8711,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Survival may depend on fire intensity (1), Variable (39), Mortality 41-64% (57); Post-fire abundance increase (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Goodenia bellidifolia subsp. bellidifolia,8711,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Rs""}","{""Survival may depend on fire intensity (1), Variable (39), Mortality 41-64% (57); Post-fire abundance increase (57)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Goodenia stelligera,3197,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Grevillea beadleana,8293,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Lacks lignotuber, occasional suckering observed in individuals where lower base protected during fire (53), Some large individuals may resprout (69), Very often killed, coppicing does occur but mainly from young plants, Mortality after fire 50% and 42% (R""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Grevillea buxifolia,5364,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Grevillea linearifolia,5381,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Grevillea oleoides,5388,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Grevillea sericea,5399,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Sometimes suckering (1, 25)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Grevillea speciosa,5401,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Gymnoschoenus sphaerocephalus,2445,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Haemodorum corymbosum,6435,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Haemodorum corymbosum,6435,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hakea laevipes subsp. laevipes,10804,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""resprouting form of H. dactyloides""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hakea laevipes subsp. laevipes,10804,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""resprouting form of H. dactyloides""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Hakea macrorrhyncha,9602,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Hakea teretifolia,5427,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Some populations in Sydney region produce lignotubers, not know if this relates to a particular subspecies (24); Mortality >85% (105)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Harmogia densifolia,13289,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Hemarthria uncinata var. uncinata,7871,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hibbertia acicularis,2526,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), vegetative response at 25% of sites (78)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hibbertia cistiflora subsp. cistiflora,10556,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Hibbertia fasciculata,2536,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), 9VE (recorded by VE from 3 individuals in low intensity burn)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hibbertia linearis,2539,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hibbertia monogyna,2540,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Hibbertia obtusifolia,2542,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}","{""Variable (39); Post-fire abundance increase (P)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hibbertia obtusifolia,2542,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Variable (39); Post-fire abundance increase (P)""}",All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Hibbertia riparia,2545,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hibbertia serpyllifolia,2550,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Mortality 37-44% after spring burn 79-87% after autumn burn (57); Post-fire abundance decrease (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hibbertia vestita,2551,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hibbertia vestita,2551,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Homoranthus lunatus,9034,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Homoranthus virgatus,4203,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hovea purpurea,2880,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Hypericum gramineum,7240,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Juveniles die (67), Variable (39), Killed at sites with high-intensity fire, resprout at site with low-intensity (105)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hypolaena fastigiata,5533,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hypolaena fastigiata,5533,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Hypolaena fastigiata,5533,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}","{""Vegetative response at 67% of sites (78)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Hypoxis hygrometrica,3553,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Isopogon anemonifolius,5433,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39), Mortality 46-65% (57), Mortality 10-40% at one site, 60-85% at another (105); Post-fire abundance decrease (57)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Jacksonia stackhousei,2893,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Jacksonia stackhousei,2893,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Jacksonia stackhousei,2893,NSWFFRDv2.1,"{""Benwell 1998""}","{Fireresponse,Sr,""Overall value of fireresponse column is Sr""}","{""Variable fire response, resprouts at lower fire inensity (6)""}",Few,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Juncus planifolius,3340,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Kunzea bracteolata,4205,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
