trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Aotus lanigera,2771,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Aristida warburgii,4774,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Astroloma pinifolium,2585,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Babingtonia odontocalyx,9817,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Baeckea frutescens,9835,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baeckea frutescens,9835,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baeckea imbricata,3995,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""May be killed by high intensity fire (1)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baeckea imbricata,3995,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""May be killed by high intensity fire (1)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baeckea linifolia,3997,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baloskion gracile,10607,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baloskion pallens,10609,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baloskion pallens,10609,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia aemula,5339,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia aemula,5339,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia ericifolia subsp. ericifolia,11049,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Banksia ericifolia subsp. ericifolia,11049,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia ericifolia subsp. ericifolia,11049,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}",None,NA,NA,NA,Keith 1991,surv1 logic
surv1,Banksia ericifolia subsp. macrantha,11050,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia oblongifolia,5345,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benson 1985,surv1 logic
surv1,Banksia oblongifolia,5345,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Banksia oblongifolia,5345,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Banksia paludosa,5346,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality <10% (105)""}",All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Banksia robur,5347,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Banksia serrata,5348,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benson 1985,surv1 logic
surv1,Bauera microphylla,7219,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Bauera rubioides,2268,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""May be killed by high intensity fire (1), Variable (39); Post-fire abundance increase (61)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baumea acuta,2294,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baumea gunnii,2297,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baumea muelleri,2300,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baumea muelleri,2300,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Baumea rubiginosa,2302,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Baumea teretifolia,2303,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Blandfordia nobilis,3529,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Blandfordia nobilis,3529,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Blechnum nudum,8058,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Boronia falcifolia,5739,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Boronia falcifolia,5739,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Boronia granitica,5743,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}","{""no resprouts from 30 burnt individuals (69); lignotuber or other structure absent (R44)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Boronia ledifolia,5744,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Some delayed basal resprouting observed (M)""}",None,NA,NA,NA,Benson 1985,surv1 logic
