species,headland_freq,dry_freq,moist_freq,wet_freq,fire_response,headland_d_m2,headland_s,dry_d_m2_1,dry_s_1,dry_d_m2_2,dry_s_2,moisr_d_m2,moist_s,wet_d_m2,wet_s
"Platysace ericoides (2 yr DH, MH) ",25,50,39,-,FR-7,0.46 ± 0.57,18.1,0.30 ± 0.23,ND,1.03 ± 0.32,ND,0.45 ± 0.43,ND,,
P. species A,-,-,24,-,FR-4,,,,,,,3.14 ± 2.27,35.2,,
Pseudanthus orientalisA,42,31,67,-,FR-4,1.00 ± 0.54,41.6,0.51 ± 0.44,14.3,0.42 ± 0.28,50.7,1.79 ± 0.94,54.2,,
Restio pallens (2 yr),-,-,6,54,FR-7,,,,,,,,,2.05 ± 1.61,ND
Ricinocarpus pinifolius,58,54,9,-,FR-4,0.54 ± 0.51,92.4,0.27 ± 0.35,38.5,1.25 ± 0.63,53.6,+,,,
Schoenus ericetorum,54,69,17,-,FR-4,0.26 ± 0.28,14.3,0.49 ± 0.27,16.7,0.14 ± 0.10,12.5,0.07 ± 1.05,0,,
S. brevifolius (2 yr),-,-,-,29,FR-7,,,,,,,,,0.08 ± 0.22,ND
Sowerbaea juncea,-,-,7,-,FR-4,,,,,,,0.38 ± 0.52,0,,
Stackhousia nuda,4,13,-,-,FR-4,+,,,,0.54 ± 0.43,20.5,,,,
Stylidium graminifolium,-,-,13,-,FR-4,,,,,,,0.96 ± 1.39,8.2,,
S. ornatum (2 yr),-,-,8,4,FR-6?,,,,,,,,,0.08 ± 0.18,ND
Tetratheca thymifoliaA,58,-,-,-,FR-7,1.92 ± 1.62,39.1,,,,,,,,
Themeda australis (HH 2 yr),50,3,-,-,FR-4,0.13 ± 1.81,ND,0.03 ± 0.05,ND,,,,,,
Thysanotus tuberosus,13,-,-,-,R,+,,+,,,,,,,
Tricoryne elatior,38,-,-,-,R,+,,,,,,,,,
Xanthorrhoea johnsonii (2 yr),79,82,35,-,FR-6,27.29 ± 15.56,22.6,0.75 ± 0.51,78.4,0.26 ± 0.17,60.9,+,,,
X. fulva (2 yr),-,-,22,100,FR-6,,,,,,,,,0.42 ± 0.32,ND
Xyris operculata,-,-,11,25,R,,,,,,,,,+,
X. juncea,-,-,7,14,R,,,,,,,,,+,
Zieria laevigata,79,94,39,-,FR-4,2.83 ± 1.61,61.8,3.38 ± 1.26,33.1,1.44 ± 0.36,36.6,0.46 ± 0.32,20,,
