bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Styphelia viridis,2662,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Tetratheca thymifolia,6214,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Woollsia pungens,2664,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Xanthosia pilosa,1162,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Allocasuarina littoralis,2012,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-8"
Aotus ericoides,2770,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Banksia aemula,5339,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Banksia oblongifolia,5345,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Bauera rubioides,2268,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Boronia falcifolia,5739,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Boronia safrolifera,5758,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Bossiaea ensata,2778,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Bossiaea heterophylla,2780,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Brachyloma daphnoides,2586,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Calytrix tetragona,4021,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Coleocarya gracilis,5531,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Conospermum taxifolium,5352,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Entolasia stricta,4947,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Eriostemon australasius,5776,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Gompholobium pinnatum,2868,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Hibbertia acicularis,2526,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Hibbertia vestita,2551,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Hypolaena fastigiata,5533,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Leptocarpus tenax,5534,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Leptospermum juniperinum,4221,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Leptospermum liversidgei,4224,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Leptospermum polygalifolium,7245,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Leptospermum semibaccatum,4236,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Leptospermum trinervium,8486,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Leucopogon leptospermoides,2625,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Leucopogon virgatus,2639,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Lomandra elongata,6301,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Melaleuca nodosa,4258,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-8"
Melaleuca sieberi,4261,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Melaleuca quinquenervia,4260,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Mitrasacme polymorpha,3595,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Monotoca scoparia,2649,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Olax retusa,4307,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Panicum simile,5066,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Patersonia fragilis,3300,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Patersonia glabrata,3301,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Patersonia sericea,3303,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Phyllanthus hirtellus,8216,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Phyllota phylicoides,2958,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Pimelea linifolia,6182,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Platysace ericoides,1143,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Pseudanthus orientalis,2756,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Schoenus ericetorum,2495,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Schoenus brevifolius,2492,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Sowerbaea juncea,3567,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Stackhousia nuda,6122,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Stylidium graminifolium,6157,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Tetratheca thymifolia,6214,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Zieria laevigata,5841,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Acacia baueri subsp. baueri,7060,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Ochrosperma citriodorum,6949,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Banksia ericifolia subsp. macrantha,11050,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, OSR-2"
Homoranthus virgatus,4203,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Jacksonia stackhousei,2893,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Ochrosperma lineare,6474,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Baeckea imbricata,3995,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Baeckea frutescens,9835,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Machaerina muelleri,15324,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Chorizema parviflorum,2797,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Gahnia sieberiana,2442,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Sporadanthus interruptus,10604,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Agiortia pedicellata,12011,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Petrophile canescens,5477,Benwell 1998,germ1,Canopy,NA,NA,NA,"fire_response, FR-5"
Baloskion pallens,10609,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Ricinocarpos pinifolius,2759,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Themeda triandra,7770,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Drosera spp.,DROS,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Lepyrodia spp.,LEPY,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-7"
Platysace spp.,PLAT,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
Utricularia spp.,UTRI,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Xanthosia spp.,XANO,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, FR-4"
