"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Eriostemon australasius","5776","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Phebalium squamulosum","5826","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Philotheca salsolifolia","5831","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Lasiopetalum ferrugineum","6139","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Tetratheca ericifolia","6204","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Tetratheca pilosa","6209","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Actinotus minor","1095","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Xanthosia pilosa","1162","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Xanthosia tridentata","1163","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hybanthus vernonii","6267","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Caesia parviflora var. vittata","7333","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hibbertia empetrifolia subsp. empetrifolia","10863","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Ricinocarpos pinifolius","2759","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Acacia terminalis","3885","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Kennedia rubicunda","2898","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Pultenaea daphnoides","2985","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Pultenaea tuberculata","11386","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Pultenaea ferruginea","2992","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Grevillea speciosa","5401","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Cryptandra ericoides","5556","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Dodonaea triquetra","5911","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hibbertia stricta subsp. furcatula","14564","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ","original name: Hibbertia stricta"
