species,myrmecochore_status
Conospermum longifolium Sm.,unmarked
Conospermum taxifolium Sm.,unmarked
Grevillea buxifolia (Sm.) R.Br.,star
Grevillea punicea R.Br.,star
Grevillea sericea (Sm.) R.Br.,star
Hakea dactyloides (Gaertn.) Cav.,unmarked
Hakea gibbosa Cav.,unmarked
Hakea propinqua A. Cunn.,unmarked
Hakea sericea Schrad.,unmarked
Hakea teretifolia (Salisb.) J. Britten,unmarked
Isopogon anemonifolius (Salisb.) Knight,unmarked
Isopogon anethifolius (Salisb.) Knight,unmarked
Lambertia formosa Sm.,unmarked
Lomatia silaifolia (Sm.) R.Br.,unmarked
Persoonia hirsuta Pers.,unmarked
Persoonia lanceolata Andr.,unmarked
Persoonia levis (Cav.) Domin,unmarked
Persoonia linearis Andr.,unmarked
Persoonia pinifolia R.Br.,unmarked
Persoonia sp. 1,unmarked
Petrophile fucifolia (Salisb.) Knight,unmarked
Symphionema paludosum R.Br.,unmarked
Telopea speciosissima R.Br.,unmarked
Xylomelum pyriforme Sm.,unmarked
Clematis glycinoides DC.,unmarked
Cryptandra ericifolia Sm.,star
Pomaderris aspera Sieb. ex DC.,star
Galium sp. 1,unmarked
Pomax umbellata (Gaertn.) Soland. ex A. Rich. Mig.,dagger
Boronia fraseri Hook.,star
Boronia ledifolia (Vent.) J. Gray,star
Boronia parviflora Sm.,star
Boronia pinnata Sm.,star
Boronia serrulata Sm.,star
Crowea saligna Andr.,star
Eriostemon australasius Pers.,star
Phebalium squamulosum Vent.,star
Philotheca salsolifolia (Sm.) Druce,star
Ziera laevigata Sm.,dagger
Choretrum candollei F. Muell. ex Benth.,unmarked
Leptomeria acida R.Br.,unmarked
Omphacomeria acerba (R.Br.) A. DC.,unmarked
Dodonea pinnata Sm.,unmarked
Dodonea triquetra Wendl.,star
Veronica calycina R.Br.,unmarked
Lasiopetalum ferrugineum Sm.,star
Stylidium graminifolium Swartz ex Willd.,unmarked
Stylidium lineare Swartz,unmarked
Pimelea glauca R.Br.,unmarked
Tetratheca ericifolia Sm.,star
Tetratheca pilosa Labill.,star
Actinotus helianthi DC.,unmarked
Actinotus minor (Sm.) DC.,star
Hydrocotyle acutiloba (F. Muell.) Wakefield,unmarked
Oreomyrrhis eriopoda (DC.) Hook. f.,unmarked
Platysace lanceolata (Labill.) Druce,unmarked
Platysace linearifolia (Cav.) C. Norman,unmarked
Xanthosia pilosa Rudge,star
Xanthosia tridentata DC.,star
Clerodendrum tomentosum R.Br.,unmarked
Hybanthus vernonii F. Muell.,star
