bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Lepidosperma forsythii,2467,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lepidosperma limicola,2469,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lepidosperma neesii,2471,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Leptomeria acida,5865,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Leptomeria acida,5865,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum arachnoides,4213,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum arachnoides,4213,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum continentale,7970,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum continentale,7970,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum grandifolium,7766,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum grandifolium,7766,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum juniperinum,4221,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum juniperinum,4221,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum polygalifolium,7245,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum polygalifolium,7245,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum trinervium,8486,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Leptospermum trinervium,8486,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Leptocarpus tenax,5534,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
