"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Correa reflexa","5772","Clarke Knox 2002","surv1","Half",NA,NA,NA,"Fire response, Obligate seeder / Fire response, Resprouts",NA
"Zieria cytisoides","5836","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Zieria laevigata","5841","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Dodonaea boroniifolia","5892","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Dodonaea hirsuta","5897","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Dodonaea triquetra","5911","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Chloanthes parviflora","6242","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Xanthorrhoea johnsonii","6317","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Olax stricta","6407","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leucopogon lanceolatus var. lanceolatus","6425","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Dodonaea viscosa subsp. viscosa","6541","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Pimelea linifolia subsp. collina","6635","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Notelaea microcarpa var. microcarpa","6695","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Pimelea curviflora var. divergens","6774","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Pimelea linifolia subsp. linifolia","6814","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprout",NA
"Gompholobium huegelii","6921","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Daviesia mimosoides subsp. mimosoides","7211","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Dillwynia phylicoides","7225","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leucopogon microphyllus var. pilibundus","7287","Clarke Knox 2002","surv1","Few",NA,NA,NA,"Fire response, Variable",NA
"Indigofera adesmiifolia","7544","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Mirbelia speciosa subsp. speciosa","7736","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Callistemon pityoides","7943","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leptospermum polygalifolium subsp. transmontanum","8201","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Grevillea acerata","8292","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Grevillea beadleana","8293","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Almaleea cambagei","8368","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leptospermum novae-angliae","8478","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leptospermum trinervium","8486","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Ozothamnus diosmifolius","8557","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Rhytidosporum procumbens","8623","Clarke Knox 2002","surv1","Few",NA,NA,NA,"Fire response, Obligate seeder / Fire response, Resprouts",NA
"Persoonia rufa","8624","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leptospermum gregarium","8647","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Ozothamnus adnatus","8705","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Dillwynia sieberi","8734","Clarke Knox 2002","surv1","Half",NA,NA,NA,"Fire response, Obligate seeder / Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Xanthorrhoea glauca subsp. glauca","8751","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Allocasuarina rigida subsp. rigida","8791","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Grevillea scortechinii subsp. sarmentosa","8799","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
